V1 V2
340 JP1_CRS211
1336 JP1_CRS215
74 JP1_CRS219
19724 JP1_CRS223
66906 JP1_CRS227
9313 JP1_CRS230
2420 JP1_CRS234
75897 JP1_CRS242
1 JP1_CRS253
396 JP1_CRS257
1 JP1_CRS273
611 JP1_CRS277
677 JP1_CRS281
271 JP1_CRS285
129 JP1_CRS288
2 JP1_CRS315
706 JP1_CRS319
4 JP1_TEV001
234889 JP1_TEV002
208665 JP1_TEV003
422327 JP1_TEV004
264221 JP1_TEV005
307131 JP1_TEV006
9 JP1_TEV007
23 JP1_TEV009
199080 JP1_TEV010
275377 JP1_TEV011
58322 JP1_TEV012
73653 JP1_TEV013
260764 JP1_TEV015
191693 JP1_TEV017
328113 JP1_TEV019
267782 JP1_TEV020
195 JP1_TEV021
551350 JP1_TEV023
72189 JP1_TEV024
213307 JP1_TEV025
106067 JP1_TEV026
212127 JP1_TEV027
116238 JP1_TEV028
204553 JP1_TEV029
37452 JP1_TEV030
261149 JP2_MI005
172364 JP2_MI007
158420 JP2_MI009
314422 JP2_MI010
281123 JP2_MI016
260191 JP2_MI018
401992 JP2_MI023
243348 JP2_MI024
87417 JP2_MI026
235812 JP2_MI027
85612 JP2_MI028
228961 JP2_MI032
118271 JP2_MI036
213483 JP2_MI040
523253 JP2_MI046
85704 JP2_MI048
86433 JP2_MI049
739486 JP2_MI052
147930 JP2_MI053
85184 JP2_MI057
783368 JP2_MI060
259733 JP2_MI073
162565 JP2_MI074
228563 JP2_MI075
164383 JP2_MI078
230038 JP2_MI080
249004 JP2_MI081
698968 JP2_MI082
295784 JP2_MI085
292333 JP2_MI087
389757 JP2_MI088
360339 JP2_MI090
265174 JP2_MI091
291326 JP2_MI096
227442 JP2_MI097
244210 JP2_MI098
124901 JP2_MI101
423694 JP2_MI103
283334 JP2_MI104
31627 JP2_MI106
278022 JP2_MI108
316199 JP2_MI109
355898 JP2_MI110
114788 JP2_MI116
435650 JP2_MI117
92825 JP2_MI118
385934 JP2_MI119
117228 JP2_MI123
305881 JP2_MI126
830162 JP2_MI129
159945 JP2_MI133
958546 JP2_MI140
37846 JP2_MI142
314006 JP2_MI143
195561 JP2_MI147
304089 JP2_MI148
249840 JP2_MI149
568518 JP2_MI151
479279 JP2_MI153
432424 JP2_MI155
973318 JP2_MI160
392713 JP2_MI162
255468 JP2_MI165
180963 JP2_MI177
145378 JP2_MI178
872735 JP2_MI182
438844 JP2_MI188
201876 JP2_MI193
139227 JP2_MI197
181863 JP2_MI199
345780 JP2_MI201
170762 JP2_MI204
215097 JP2_MI208
131808 JP2_MI213
878887 JP2_MI214
234729 JP2_MI218
