V1	V2
1	JP1_CRS273.fastq
2	JP1_CRS253.fastq
2	JP1_CRS315.fastq
4	JP1_TEV001.fastq
11	JP1_TEV007.fastq
44	JP1_TEV009.fastq
95	JP1_CRS219.fastq
219	JP1_TEV021.fastq
311	JP1_CRS285.fastq
410	JP1_CRS211.fastq
591	JP1_CRS288.fastq
720	JP1_CRS277.fastq
803	JP1_CRS281.fastq
930	JP1_CRS319.fastq
1612	JP1_CRS215.fastq
1844	JP1_CRS257.fastq
2698	JP1_CRS234.fastq
10158	JP1_CRS230.fastq
21813	JP1_CRS223.fastq
41022	JP1_TEV030.fastq
67419	JP1_TEV012.fastq
74833	JP1_CRS227.fastq
84099	JP1_TEV013.fastq
85344	JP1_TEV024.fastq
108919	JP1_CRS242.fastq
115491	JP1_TEV026.fastq
137359	JP1_TEV028.fastq
214014	JP2_MI199.fastq
225573	JP1_TEV017.fastq
226601	JP2_MI106.fastq
230576	JP1_TEV010.fastq
240085	JP1_TEV029.fastq
242993	JP1_TEV027.fastq
243941	JP1_TEV025.fastq
251431	JP2_MI178.fastq
252593	JP1_TEV003.fastq
270803	JP1_TEV002.fastq
273974	JP2_MI049.fastq
302096	JP1_TEV015.fastq
316030	JP1_TEV005.fastq
317180	JP1_TEV020.fastq
321616	JP2_MI118.fastq
323722	JP1_TEV011.fastq
329823	JP2_MI218.fastq
337422	JP2_MI053.fastq
344797	JP1_TEV006.fastq
359960	JP2_MI204.fastq
360291	JP1_TEV019.fastq
425918	JP2_MI142.fastq
450370	JP2_MI147.fastq
451853	JP2_MI096.fastq
459211	JP2_MI018.fastq
465183	JP2_MI133.fastq
466634	JP2_MI081.fastq
472359	JP1_TEV004.fastq
489898	JP2_MI088.fastq
492001	JP2_MI148.fastq
501679	JP2_MI201.fastq
515562	JP2_MI057.fastq
525385	JP2_MI087.fastq
534107	JP2_MI126.fastq
535519	JP2_MI007.fastq
547000	JP2_MI048.fastq
566543	JP2_MI101.fastq
573408	JP2_MI117.fastq
590720	JP2_MI109.fastq
595125	JP1_TEV023.fastq
616084	JP2_MI028.fastq
617233	JP2_MI009.fastq
618572	JP2_MI098.fastq
630236	JP2_MI155.fastq
652233	JP2_MI119.fastq
655555	JP2_MI177.fastq
658293	JP2_MI143.fastq
662545	JP2_MI024.fastq
686733	JP2_MI032.fastq
686744	JP2_MI110.fastq
686970	JP2_MI074.fastq
698055	JP2_MI026.fastq
701999	JP2_MI090.fastq
706055	JP2_MI005.fastq
707861	JP2_MI097.fastq
749953	JP2_MI073.fastq
764712	JP2_MI116.fastq
770208	JP2_MI153.fastq
823416	JP2_MI149.fastq
823485	JP2_MI075.fastq
839484	JP2_MI023.fastq
865432	JP2_MI091.fastq
922171	JP2_MI040.fastq
923949	JP2_MI151.fastq
929357	JP2_MI010.fastq
944820	JP2_MI197.fastq
962032	JP2_MI027.fastq
974789	JP2_MI188.fastq
994597	JP2_MI016.fastq
1016296	JP2_MI080.fastq
1018126	JP2_MI078.fastq
1021909	JP2_MI036.fastq
1038995	JP2_MI213.fastq
1060229	JP2_MI103.fastq
1141930	JP2_MI082.fastq
1152961	JP2_MI165.fastq
1162461	JP2_MI085.fastq
1187961	JP2_MI104.fastq
1196804	JP2_MI193.fastq
1233747	JP2_MI182.fastq
1267881	JP2_MI140.fastq
1403951	JP2_MI160.fastq
1450128	JP2_MI162.fastq
1454560	JP2_MI060.fastq
1679388	JP2_MI129.fastq
1705773	JP2_MI046.fastq
1738414	JP2_MI108.fastq
1743739	JP2_MI208.fastq
1993917	JP2_MI214.fastq
2562151	JP2_MI052.fastq
2969726	JP2_MI123.fastq
