V1	V2
1	JP1_CRS253.fastq
1	JP1_CRS273.fastq
2	JP1_CRS315.fastq
4	JP1_TEV001.fastq
9	JP1_TEV007.fastq
23	JP1_TEV009.fastq
74	JP1_CRS219.fastq
129	JP1_CRS288.fastq
195	JP1_TEV021.fastq
271	JP1_CRS285.fastq
340	JP1_CRS211.fastq
396	JP1_CRS257.fastq
611	JP1_CRS277.fastq
677	JP1_CRS281.fastq
706	JP1_CRS319.fastq
1336	JP1_CRS215.fastq
2420	JP1_CRS234.fastq
9313	JP1_CRS230.fastq
19724	JP1_CRS223.fastq
31627	JP2_MI106.fastq
37452	JP1_TEV030.fastq
37846	JP2_MI142.fastq
58322	JP1_TEV012.fastq
66906	JP1_CRS227.fastq
72189	JP1_TEV024.fastq
73653	JP1_TEV013.fastq
75897	JP1_CRS242.fastq
85184	JP2_MI057.fastq
85612	JP2_MI028.fastq
85704	JP2_MI048.fastq
86433	JP2_MI049.fastq
87417	JP2_MI026.fastq
92825	JP2_MI118.fastq
106067	JP1_TEV026.fastq
114788	JP2_MI116.fastq
116238	JP1_TEV028.fastq
117228	JP2_MI123.fastq
118271	JP2_MI036.fastq
124901	JP2_MI101.fastq
131808	JP2_MI213.fastq
139227	JP2_MI197.fastq
145378	JP2_MI178.fastq
147930	JP2_MI053.fastq
158420	JP2_MI009.fastq
159945	JP2_MI133.fastq
162565	JP2_MI074.fastq
164383	JP2_MI078.fastq
170762	JP2_MI204.fastq
172364	JP2_MI007.fastq
180963	JP2_MI177.fastq
181863	JP2_MI199.fastq
191693	JP1_TEV017.fastq
195561	JP2_MI147.fastq
199080	JP1_TEV010.fastq
201876	JP2_MI193.fastq
204553	JP1_TEV029.fastq
208665	JP1_TEV003.fastq
212127	JP1_TEV027.fastq
213307	JP1_TEV025.fastq
213483	JP2_MI040.fastq
215097	JP2_MI208.fastq
227442	JP2_MI097.fastq
228563	JP2_MI075.fastq
228961	JP2_MI032.fastq
230038	JP2_MI080.fastq
234729	JP2_MI218.fastq
234889	JP1_TEV002.fastq
235812	JP2_MI027.fastq
243348	JP2_MI024.fastq
244210	JP2_MI098.fastq
249004	JP2_MI081.fastq
249840	JP2_MI149.fastq
255468	JP2_MI165.fastq
259733	JP2_MI073.fastq
260191	JP2_MI018.fastq
260764	JP1_TEV015.fastq
261149	JP2_MI005.fastq
264221	JP1_TEV005.fastq
265174	JP2_MI091.fastq
267782	JP1_TEV020.fastq
275377	JP1_TEV011.fastq
278022	JP2_MI108.fastq
281123	JP2_MI016.fastq
283334	JP2_MI104.fastq
291326	JP2_MI096.fastq
292333	JP2_MI087.fastq
295784	JP2_MI085.fastq
304089	JP2_MI148.fastq
305881	JP2_MI126.fastq
307131	JP1_TEV006.fastq
314006	JP2_MI143.fastq
314422	JP2_MI010.fastq
316199	JP2_MI109.fastq
328113	JP1_TEV019.fastq
345780	JP2_MI201.fastq
355898	JP2_MI110.fastq
360339	JP2_MI090.fastq
385934	JP2_MI119.fastq
389757	JP2_MI088.fastq
392713	JP2_MI162.fastq
401992	JP2_MI023.fastq
422327	JP1_TEV004.fastq
423694	JP2_MI103.fastq
432424	JP2_MI155.fastq
435650	JP2_MI117.fastq
438844	JP2_MI188.fastq
479279	JP2_MI153.fastq
523253	JP2_MI046.fastq
551350	JP1_TEV023.fastq
568518	JP2_MI151.fastq
698968	JP2_MI082.fastq
739486	JP2_MI052.fastq
783368	JP2_MI060.fastq
830162	JP2_MI129.fastq
872735	JP2_MI182.fastq
878887	JP2_MI214.fastq
958546	JP2_MI140.fastq
973318	JP2_MI160.fastq
